player,salary,team,pos,opp,ceil,floor,fpts
"Matt Wieters",2600,BAL,C,LAA,,,7.82
"Mark Trumbo",3300,BAL,OF,LAA,,,10.06
"Adam Jones",3000,BAL,OF,LAA,,,10.03
"Pedro Alvarez",2700,BAL,3B,LAA,,,8.14
"Manny Machado",4100,BAL,3B,LAA,,,11.58
"Jonathan Schoop",3800,BAL,2B,LAA,,,7.82
"Hyun-Soo Kim",2600,BAL,OF,LAA,,,7.88
"Chris Davis",4000,BAL,1B,LAA,,,11.73
"J.J. Hardy",2300,BAL,SS,LAA,,,7.24
"Albert Pujols",3900,LAA,1B,BAL,,,10.61
"Yunel Escobar",3300,LAA,3B,BAL,,,8.15
"Mike Trout",4900,LAA,OF,BAL,,,13.65
"Johnny Giavotella",2800,LAA,2B,BAL,,,7.27
"Kole Calhoun",3900,LAA,OF,BAL,,,11.57
"Carlos Perez",2500,LAA,C,BAL,,,6.41
"C.J. Cron",3100,LAA,1B,BAL,,,8.27
"Andrelton Simmons",2900,LAA,SS,BAL,,,6.68
"Daniel Nava",2100,LAA,OF,BAL,,,6.78
"Miguel Montero",2400,CHC,C,PIT,,,7
"Ben Zobrist",4000,CHC,2B,PIT,,,10.37
"Anthony Rizzo",4800,CHC,1B,PIT,,,10.91
"Javier Baez",2500,CHC,SS,PIT,,,8.41
"Addison Russell",2600,CHC,SS,PIT,,,9.24
"Kris Bryant",3600,CHC,3B,PIT,,,13.44
"Willson Contreras",2700,CHC,C,PIT,,,9.94
"Jason Heyward",2800,CHC,OF,PIT,,,8.26
"David Freese",3000,PIT,1B,CHC,,,8.33
"Andrew McCutchen",3000,PIT,OF,CHC,,,8.97
"Josh Harrison",2800,PIT,2B,CHC,,,7.11
"Jordy Mercer",2200,PIT,SS,CHC,,,6.35
"Starling Marte",3300,PIT,OF,CHC,,,9.26
"Gregory Polanco",3400,PIT,OF,CHC,,,9.48
"Jung-Ho Kang",3700,PIT,3B,CHC,,,8.1
"John Jaso",2900,PIT,1B,CHC,,,8.54
"Erik Kratz",2200,PIT,C,CHC,,,5.07
"Victor Martinez",3700,DET,C,TOR,,,10.33
"Miguel Cabrera",3300,DET,1B,TOR,,,13.25
"Ian Kinsler",3600,DET,2B,TOR,,,11.37
"Justin Upton",3100,DET,OF,TOR,,,8.56
"Cameron Maybin",2700,DET,OF,TOR,,,7.96
"Jose Iglesias",2400,DET,SS,TOR,,,6.44
"Nick Castellanos",3800,DET,3B,TOR,,,9.76
"James McCann",2000,DET,C,TOR,,,6.08
"Jarrod Saltalamacchia",2100,DET,C,TOR,,,6.8
"Mike Aviles",2500,DET,2B,TOR,,,6.54
"Ezequiel Carrera",3200,TOR,OF,DET,,,9.62
"Josh Donaldson",4800,TOR,3B,DET,,,14.54
"Edwin Encarnacion",4700,TOR,1B,DET,,,14.44
"Russell Martin",3000,TOR,C,DET,,,8.58
"Michael Saunders",3900,TOR,OF,DET,,,13.22
"Troy Tulowitzki",3200,TOR,SS,DET,,,10.42
"Kevin Pillar",2900,TOR,OF,DET,,,7.67
"Devon Travis",2700,TOR,2B,DET,,,8.14
"Justin Smoak",3200,TOR,1B,DET,,,9.12
"Dustin Pedroia",3400,BOS,2B,TBR,,,9.61
"Hanley Ramirez",3000,BOS,1B,TBR,,,8.93
"David Ortiz",4000,BOS,1B,TBR,,,13.16
"Xander Bogaerts",3500,BOS,SS,TBR,,,10.44
"Travis Shaw",3200,BOS,3B,TBR,,,8.46
"Mookie Betts",4100,BOS,OF,TBR,,,11.2
"Jackie Bradley",4000,BOS,OF,TBR,,,9.53
"Sandy Leon",2600,BOS,C,TBR,,,7
"Brandon Guyer",3200,TBR,OF,BOS,,,9.34
"Logan Forsythe",3500,TBR,2B,BOS,,,9.96
"Evan Longoria",3900,TBR,3B,BOS,,,11.49
"Logan Morrison",3800,TBR,1B,BOS,,,10.68
"Curt Casali",2500,TBR,C,BOS,,,6.35
"Brad Miller",4100,TBR,SS,BOS,,,9.93
"Corey Dickerson",3000,TBR,OF,BOS,,,9.72
"Steve Souza",2400,TBR,OF,BOS,,,8.65
"Oswaldo Arcia",3000,TBR,OF,BOS,,,7.58
"Hank Conger",2100,TBR,C,BOS,,,6.13
"Brock Holt",2800,BOS,OF,TBR,,,8.21
"Carlos Santana",3900,CLE,1B,NYY,,,10.27
"Mike Napoli",3400,CLE,1B,NYY,,,9.87
"Juan Uribe",2100,CLE,3B,NYY,,,6.35
"Rajai Davis",3600,CLE,OF,NYY,,,8.15
"Jason Kipnis",3300,CLE,2B,NYY,,,11.25
"Yan Gomes",2600,CLE,C,NYY,,,6.83
"Francisco Lindor",3400,CLE,SS,NYY,,,10.09
"Jose Ramirez",3100,CLE,3B,NYY,,,8.1
"Tyler Naquin",3900,CLE,OF,NYY,,,7.41
"Lonnie Chisenhall",2600,CLE,OF,NYY,,,8.3
"Jacoby Ellsbury",2700,NYY,OF,CLE,,,8.76
"Brett Gardner",3000,NYY,OF,CLE,,,8.68
"Carlos Beltran",3400,NYY,OF,CLE,,,9
"Alex Rodriguez",2400,NYY,3B,CLE,,,7.68
"Brian McCann",3000,NYY,C,CLE,,,8.84
"Starlin Castro",2200,NYY,2B,CLE,,,7.06
"Didi Gregorius",2700,NYY,SS,CLE,,,7.28
"Chase Headley",2100,NYY,3B,CLE,,,7.06
"Mark Teixeira",2000,NYY,1B,CLE,,,7.65
"Aaron Hicks",2200,NYY,OF,CLE,,,5.98
"Curtis Granderson",2500,NYM,OF,WAS,,,8.03
"Asdrubal Cabrera",2500,NYM,SS,WAS,,,6.66
"Yoenis Cespedes",3300,NYM,OF,WAS,,,8.94
"Neil Walker",2700,NYM,2B,WAS,,,7.16
"Brandon Nimmo",2200,NYM,OF,WAS,,,6.23
"James Loney",2600,NYM,1B,WAS,,,6.48
"Wilmer Flores",2200,NYM,3B,WAS,,,6.07
"Juan Lagares",2000,NYM,OF,WAS,,,5.98
"Travis d'Arnaud",2500,NYM,C,WAS,,,5.82
"Jose Reyes",3000,NYM,3B,WAS,,,7.23
"Ben Revere",3400,WAS,OF,NYM,,,6.41
"Bryce Harper",3400,WAS,OF,NYM,,,10.49
"Daniel Murphy",3200,WAS,2B,NYM,,,8.78
"Wilson Ramos",3200,WAS,C,NYM,,,5.97
"Ryan Zimmerman",2500,WAS,1B,NYM,,,6.54
"Anthony Rendon",2200,WAS,3B,NYM,,,6.41
"Danny Espinosa",2200,WAS,SS,NYM,,,5.97
"Jayson Werth",2200,WAS,OF,NYM,,,6.54
"Zack Cozart",3000,CIN,SS,MIA,,,6.39
"Joey Votto",3200,CIN,1B,MIA,,,7.67
"Brandon Phillips",2700,CIN,2B,MIA,,,6.39
"Jay Bruce",3300,CIN,OF,MIA,,,7.23
"Adam Duvall",3300,CIN,OF,MIA,,,6.89
"Eugenio Suarez",2900,CIN,3B,MIA,,,5.55
"Tucker Barnhart",2700,CIN,C,MIA,,,5.21
"Billy Hamilton",2700,CIN,OF,MIA,,,6.13
"Martin Prado",2800,MIA,3B,CIN,,,7.25
"Adeiny Hechavarria",2000,MIA,SS,CIN,,,5.83
"Marcell Ozuna",3600,MIA,OF,CIN,,,10.58
"Ichiro Suzuki",2900,MIA,OF,CIN,,,6.63
"Christian Yelich",3200,MIA,OF,CIN,,,10.81
"J.T. Realmuto",3400,MIA,C,CIN,,,7.31
"Derek Dietrich",3300,MIA,2B,CIN,,,8.89
"Giancarlo Stanton",3600,MIA,OF,CIN,,,11.29
"Chris Johnson",2400,MIA,1B,CIN,,,6.44
"Eduardo Nunez",3700,MIN,SS,TEX,,,8.49
"Robbie Grossman",3100,MIN,OF,TEX,,,7.59
"Joe Mauer",3000,MIN,1B,TEX,,,7.41
"Brian Dozier",3900,MIN,2B,TEX,,,8.99
"Kennys Vargas",2100,MIN,1B,TEX,,,6.82
"Kurt Suzuki",2700,MIN,C,TEX,,,5.61
"Byron Buxton",2800,MIN,OF,TEX,,,6.57
"Eduardo Escobar",2800,MIN,SS,TEX,,,6.2
"Max Kepler",3500,MIN,OF,TEX,,,6.2
"Miguel Sano",4000,MIN,OF,TEX,,,8.73
"Prince Fielder",2800,TEX,1B,MIN,,,8.35
"Adrian Beltre",3500,TEX,3B,MIN,,,9.84
"Elvis Andrus",2400,TEX,SS,MIN,,,7.05
"Ian Desmond",4400,TEX,OF,MIN,,,10.73
"Bobby Wilson",2100,TEX,C,MIN,,,6.45
"Jurickson Profar",2800,TEX,2B,MIN,,,8.9
"Mitch Moreland",2900,TEX,OF,MIN,,,8.22
"Nomar Mazara",2700,TEX,OF,MIN,,,9.51
"Shin-Soo Choo",3900,TEX,OF,MIN,,,10.11
"Rougned Odor",3400,TEX,2B,MIN,,,10.2
"Robinson Chirinos",2400,TEX,C,MIN,,,6.93
"Jonathan Villar",3200,MIL,SS,STL,,,8.68
"Scooter Gennett",3400,MIL,2B,STL,,,9.23
"Ryan Braun",3600,MIL,OF,STL,,,10.73
"Jonathan Lucroy",3300,MIL,C,STL,,,8.6
"Chris Carter",3500,MIL,1B,STL,,,8.48
"Hernan Perez",2600,MIL,3B,STL,,,6.48
"Kirk Nieuwenhuis",2600,MIL,OF,STL,,,7.08
"Ramon Flores",2000,MIL,OF,STL,,,5.8
"Yadier Molina",2800,STL,C,MIL,,,7.3
"Matt Holliday",3400,STL,OF,MIL,,,9.9
"Randal Grichuk",2900,STL,OF,MIL,,,8.43
"Matt Adams",3300,STL,1B,MIL,,,8.95
"Stephen Piscotty",3700,STL,OF,MIL,,,11.94
"Aledmys Diaz",3800,STL,SS,MIL,,,10.63
"Jhonny Peralta",2900,STL,3B,MIL,,,9.06
"Thomas Pham",2100,STL,OF,MIL,,,6.92
"Kolten Wong",2500,STL,OF,MIL,,,7.01
"Jeff Francoeur",2400,ATL,OF,CHW,,,5.99
"Ender Inciarte",2500,ATL,OF,CHW,,,5.33
"Freddie Freeman",3300,ATL,1B,CHW,,,7.29
"Nick Markakis",2400,ATL,OF,CHW,,,5.68
"Tyler Flowers",2500,ATL,C,CHW,,,6.89
"Gordon Beckham",2600,ATL,2B,CHW,,,5.74
"Adonis Garcia",2100,ATL,3B,CHW,,,6.23
"Erick Aybar",2100,ATL,SS,CHW,,,5.09
"Jace Peterson",2800,ATL,2B,CHW,,,5.67
"Dioner Navarro",2900,CHW,C,ATL,,,6.78
"Todd Frazier",3700,CHW,3B,ATL,,,10.87
"Brett Lawrie",3100,CHW,2B,ATL,,,7.79
"Avisail Garcia",2600,CHW,OF,ATL,,,6.43
"Adam Eaton",3100,CHW,OF,ATL,,,9.06
"Jose Abreu",2800,CHW,1B,ATL,,,10.05
"Tyler Saladino",2700,CHW,SS,ATL,,,6.14
"Melky Cabrera",3500,CHW,OF,ATL,,,8.44
"J.B. Shuck",2600,CHW,OF,ATL,,,6.76
"Timothy Anderson",2800,CHW,SS,ATL,,,8.47
"Chase d'Arnaud",2000,ATL,3B,CHW,,,5.05
"Brandon Barnes",3200,COL,OF,PHI,,,8.93
"Mark Reynolds",3700,COL,1B,PHI,,,9.73
"Carlos Gonzalez",4600,COL,OF,PHI,,,13.03
"Charlie Blackmon",4500,COL,OF,PHI,,,13.3
"DJ LeMahieu",3700,COL,2B,PHI,,,9.23
"Nolan Arenado",4700,COL,3B,PHI,,,13.85
"Trevor Story",3500,COL,SS,PHI,,,11.84
"Nick Hundley",3400,COL,C,PHI,,,8.54
"Ryan Raburn",3600,COL,OF,PHI,,,8.55
"Tyler Goeddel",3200,PHI,OF,COL,,,7.56
"Cody Asche",3200,PHI,OF,COL,,,9.61
"Ryan Howard",3200,PHI,1B,COL,,,9.36
"Freddy Galvis",3300,PHI,SS,COL,,,8.72
"Peter Bourjos",3800,PHI,OF,COL,,,8.48
"Cesar Hernandez",3000,PHI,2B,COL,,,9.07
"Cameron Rupp",3500,PHI,C,COL,,,9.54
"Odubel Herrera",4200,PHI,OF,COL,,,13.09
"Maikel Franco",4000,PHI,3B,COL,,,13.08
"Tommy Joseph",3800,PHI,1B,COL,,,9.84
"Colby Rasmus",3200,HOU,OF,OAK,,,8.83
"Luis Valbuena",3200,HOU,3B,OAK,,,7.66
"Jose Altuve",4300,HOU,2B,OAK,,,12.07
"Jason Castro",2700,HOU,C,OAK,,,5.09
"Marwin Gonzalez",3000,HOU,1B,OAK,,,7.73
"Evan Gattis",2900,HOU,C,OAK,,,8.42
"George Springer",3100,HOU,OF,OAK,,,12.35
"A.J. Reed",2300,HOU,1B,OAK,,,7.05
"Carlos Correa",2900,HOU,SS,OAK,,,11.6
"Carlos Gomez",3200,HOU,OF,OAK,,,8.3
"Billy Burns",2500,OAK,OF,HOU,,,7.68
"Coco Crisp",3000,OAK,OF,HOU,,,8.68
"Stephen Vogt",2700,OAK,C,HOU,,,9.03
"Danny Valencia",3400,OAK,3B,HOU,,,9.65
"Khris Davis",3000,OAK,OF,HOU,,,9.12
"Jed Lowrie",2800,OAK,2B,HOU,,,7.31
"Yonder Alonso",2600,OAK,1B,HOU,,,7.31
"Marcus Semien",3100,OAK,SS,HOU,,,7.6
"Jake Smolinski",2600,OAK,OF,HOU,,,6.88
"Billy Butler",2700,OAK,1B,HOU,,,6.72
"Josh Reddick",2600,OAK,OF,HOU,,,9.3
"Whit Merrifield",2700,KCR,2B,SEA,,,7.91
"Alcides Escobar",2100,KCR,SS,SEA,,,6.57
"Eric Hosmer",3400,KCR,1B,SEA,,,10.28
"Salvador Perez",3200,KCR,C,SEA,,,7.91
"Paulo Orlando",2500,KCR,OF,SEA,,,6.79
"Jarrod Dyson",2600,KCR,OF,SEA,,,6.45
"Cheslor Cuthbert",2400,KCR,3B,SEA,,,6.85
"Kendrys Morales",3000,KCR,1B,SEA,,,10.12
"Alex Gordon",3300,KCR,OF,SEA,,,9.33
"Brett Eibner",2000,KCR,OF,SEA,,,6.41
"Chris Iannetta",2600,SEA,C,KCR,,,6.3
"Robinson Cano",3800,SEA,2B,KCR,,,12.4
"Nelson Cruz",3500,SEA,OF,KCR,,,11.38
"Adam Lind",3000,SEA,1B,KCR,,,8.62
"Seth Smith",3800,SEA,OF,KCR,,,9.12
"Kyle Seager",3500,SEA,3B,KCR,,,11.52
"Ketel Marte",2300,SEA,SS,KCR,,,6.41
"Dae-Ho Lee",2300,SEA,1B,KCR,,,7.68
"Leonys Martin",3400,SEA,OF,KCR,,,7
"Adrian Gonzalez",3300,LAD,1B,SDP,,,9.78
"Justin Turner",2800,LAD,3B,SDP,,,9.12
"Chase Utley",3100,LAD,2B,SDP,,,9.52
"Yasmani Grandal",2900,LAD,C,SDP,,,7.09
"Howie Kendrick",2700,LAD,2B,SDP,,,7.31
"Trayce Thompson",3100,LAD,OF,SDP,,,8.42
"Corey Seager",3000,LAD,SS,SDP,,,12
"Yasiel Puig",3000,LAD,OF,SDP,,,8.15
"Wil Myers",3300,SDP,1B,LAD,,,9.62
"Matt Kemp",3300,SDP,OF,LAD,,,9.46
"Melvin Upton Jr.",3500,SDP,OF,LAD,,,7.82
"Ryan Schimpf",2200,SDP,3B,LAD,,,6.46
"Derek Norris",2600,SDP,C,LAD,,,7.14
"Alexei Ramirez",2600,SDP,SS,LAD,,,6.28
"Yangervis Solarte",3500,SDP,3B,LAD,,,8.53
"Alex Dickerson",2600,SDP,OF,LAD,,,7.5
"Welington Castillo",3000,ARI,C,SFG,,,8.54
"Paul Goldschmidt",4200,ARI,1B,SFG,,,12.67
"Jean Segura",3300,ARI,2B,SFG,,,9.09
"Chris Herrmann",3100,ARI,C,SFG,,,8.76
"Nick Ahmed",2300,ARI,SS,SFG,,,5.95
"Jake Lamb",3700,ARI,3B,SFG,,,11.21
"Yasmany Tomas",2600,ARI,OF,SFG,,,7.84
"Michael Bourn",2300,ARI,OF,SFG,,,7.76
"Brandon Drury",2200,ARI,OF,SFG,,,6.61
"Buster Posey",3800,SFG,C,ARI,,,11.82
"Brandon Belt",3800,SFG,1B,ARI,,,7.7
"Brandon Crawford",3100,SFG,SS,ARI,,,7.52
"Ruben Tejada",2100,SFG,SS,ARI,,,6.17
"Jarrett Parker",2100,SFG,OF,ARI,,,6.5
"Angel Pagan",2900,SFG,OF,ARI,,,8.3
"Grant Green",2500,SFG,SS,ARI,,,6.78
"Mac Williamson",2200,SFG,OF,ARI,,,7.88
